"Range Name","fe__draw_count.sum","fe__draw_count.sum.peak_sustained","fe__draw_count.sum.per_second","fe__draw_count.avg","fe__draw_count.avg.per_cycle_elapsed","fe__draw_count.avg.per_second","fe__draw_count.avg.pct_of_peak_sustained_elapsed","fe__draw_count.avg.peak_sustained","fe__output_ops_cmd_go_idle.sum","fe__output_ops_cmd_go_idle.sum.peak_sustained","fe__output_ops_cmd_go_idle.sum.per_second","fe__output_ops_cmd_go_idle.avg","fe__output_ops_cmd_go_idle.avg.per_cycle_elapsed","fe__output_ops_cmd_go_idle.avg.per_second","fe__output_ops_cmd_go_idle.avg.pct_of_peak_sustained_elapsed","fe__output_ops_cmd_go_idle.avg.peak_sustained","gpu__time_duration.sum","gpu__time_duration.sum.peak_sustained","gpu__time_duration.sum.per_second","gpu__time_duration.avg","gpu__time_duration.avg.per_cycle_elapsed","gpu__time_duration.avg.per_second","gpu__time_duration.avg.pct_of_peak_sustained_elapsed","gpu__time_duration.avg.peak_sustained","gr__cycles_active.sum","gr__cycles_active.sum.peak_sustained","gr__cycles_active.sum.per_second","gr__cycles_active.avg","gr__cycles_active.avg.per_cycle_elapsed","gr__cycles_active.avg.per_second","gr__cycles_active.avg.pct_of_peak_sustained_elapsed","gr__cycles_active.avg.peak_sustained","gr__dispatch_count.sum","gr__dispatch_count.sum.peak_sustained","gr__dispatch_count.sum.per_second","gr__dispatch_count.avg","gr__dispatch_count.avg.per_cycle_elapsed","gr__dispatch_count.avg.per_second","gr__dispatch_count.avg.pct_of_peak_sustained_elapsed","gr__dispatch_count.avg.peak_sustained","pda__input_prims.sum","pda__input_prims.sum.peak_sustained","pda__input_prims.sum.per_second","pda__input_prims.avg","pda__input_prims.avg.per_cycle_elapsed","pda__input_prims.avg.per_second","pda__input_prims.avg.pct_of_peak_sustained_elapsed","pda__input_prims.avg.peak_sustained","prop__prop2crop_pixels_realtime.sum","prop__prop2crop_pixels_realtime.sum.peak_sustained","prop__prop2crop_pixels_realtime.sum.per_second","prop__prop2crop_pixels_realtime.avg","prop__prop2crop_pixels_realtime.avg.per_cycle_elapsed","prop__prop2crop_pixels_realtime.avg.per_second","prop__prop2crop_pixels_realtime.avg.pct_of_peak_sustained_elapsed","prop__prop2crop_pixels_realtime.avg.peak_sustained","prop__prop2zrop_pixels_realtime.sum","prop__prop2zrop_pixels_realtime.sum.peak_sustained","prop__prop2zrop_pixels_realtime.sum.per_second","prop__prop2zrop_pixels_realtime.avg","prop__prop2zrop_pixels_realtime.avg.per_cycle_elapsed","prop__prop2zrop_pixels_realtime.avg.per_second","prop__prop2zrop_pixels_realtime.avg.pct_of_peak_sustained_elapsed","prop__prop2zrop_pixels_realtime.avg.peak_sustained","crop__throughput.avg.pct_of_peak_sustained_elapsed","dram__throughput.avg.pct_of_peak_sustained_elapsed","l1tex__throughput.avg.pct_of_peak_sustained_elapsed","lts__throughput.avg.pct_of_peak_sustained_elapsed","pcie__throughput.avg.pct_of_peak_sustained_elapsed","pda__throughput.avg.pct_of_peak_sustained_elapsed","pes__throughput.avg.pct_of_peak_sustained_elapsed","prop__throughput.avg.pct_of_peak_sustained_elapsed","raster__throughput.avg.pct_of_peak_sustained_elapsed","sm__throughput.avg.pct_of_peak_sustained_elapsed","vaf__throughput.avg.pct_of_peak_sustained_elapsed","vpc__throughput.avg.pct_of_peak_sustained_elapsed","zrop__throughput.avg.pct_of_peak_sustained_elapsed",
"Frame",214,1,6394.55,214,8.88203e-06,6394.55,0.000888203,1,13,1,388.454,13,5.39563e-07,388.454,5.39563e-05,1,3.3466e+07,10,1e+09,3.3466e+07,1.389,1e+09,13.89,10,1.80994e+07,1,5.4083e+08,1.80994e+07,0.751213,5.4083e+08,75.1213,1,53,1,1583.7,53,2.19976e-06,1583.7,0.000219976,1,1.10412e+06,16,3.29924e+07,1.10412e+06,0.0458265,3.29924e+07,0.286415,16,7.79709e+06,96,2.32985e+08,1.29951e+06,0.0497832,3.88309e+07,0.311145,16,2.14175e+07,384,6.39977e+08,3.56958e+06,0.136747,1.06663e+08,0.213668,64,0.498808,2.06409,36.4574,2.2455,2.23016,0.286415,0,0.518283,0.50567,48.377,0.493141,0.456415,0.505843,
"Frame/",214,1,7674.26,214,1.06599e-05,7674.26,0.00106599,1,4,1,143.444,4,1.99251e-07,143.444,1.99251e-05,1,2.78854e+07,10,1e+09,2.78854e+07,1.38905,1e+09,13.8905,10,1.88959e+07,1,6.77628e+08,1.88959e+07,0.94126,6.77628e+08,94.126,1,51,1,1828.91,51,2.54045e-06,1828.91,0.000254045,1,1.10412e+06,16,3.9595e+07,1.10412e+06,0.0549995,3.9595e+07,0.343747,16,7.79222e+06,96,2.79437e+08,1.2987e+06,0.0597086,4.65729e+07,0.373179,16,2.1392e+07,384,7.6714e+08,3.56533e+06,0.163918,1.27857e+08,0.256122,64,0.603674,2.39515,46.7268,2.66541,2.67489,0.343747,0,0.621575,0.605979,61.9548,0.631029,0.547392,0.612144,
"Frame//",214,1,8545.98,214,1.18721e-05,8545.98,0.00118721,1,3,1,119.803,3,1.66431e-07,119.803,1.66431e-05,1,2.5041e+07,10,1e+09,2.5041e+07,1.38921,1e+09,13.8921,10,1.8021e+07,1,7.19659e+08,1.8021e+07,0.999754,7.19659e+08,99.9754,1,51,1,2036.66,51,2.82934e-06,2036.66,0.000282934,1,1.10412e+06,16,4.40926e+07,1.10412e+06,0.0612537,4.40926e+07,0.382835,16,7.70845e+06,96,3.07833e+08,1.28474e+06,0.0657746,5.13055e+07,0.411091,16,2.1333e+07,384,8.51922e+08,3.5555e+06,0.18203,1.41987e+08,0.284422,64,0.692168,3.51099,49.99,3.44156,0.0297886,0.382835,0,0.692625,0.674309,66.1539,0.674395,0.610427,0.68464,
"Frame///",110,1,178913,110,0.000249687,178913,0.0249687,1,1,1,1626.48,1,2.26988e-06,1626.48,0.000226988,1,614824,10,1e+09,614824,1.39558,1e+09,13.9558,10,440551,1,7.16548e+08,440551,1,7.16548e+08,100,1,18,1,29276.7,18,4.08579e-05,29276.7,0.00408579,1,287401,16,4.67452e+08,287401,0.652367,4.67452e+08,4.07729,16,274560,96,4.46567e+08,45760,0.0953685,7.44278e+07,0.596053,16,1.24114e+07,384,2.01869e+10,2.06857e+06,4.3111,3.36448e+09,6.7361,64,1.9573,16.1326,47.3568,27.2444,0.331096,4.07729,0,6.07201,13.3725,32.1664,8.28348,3.41428,16.3946,
