Frame, Build Acceleratoin Structures_CPU, Build Acceleration Structures_CPU, Build Acceleratoin Structures_CPU, Build Acceleration Structures_CPU, Update State_CPU, Scene Update_CPU, Scene Render_CPU, Particle Update_CPU, Disaptch Surfel Fill Acceleration Structures_CPU, Surfel Fill Acceleration Structures : SURFEL COUNT_CPU, Surfel Copy Grid To Input Buffer_CPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : REDUCE_CPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : SCAN_CPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : PROPAGATE INCLUSIVE_CPU, Surfel Fill Acceleration Structures : SURFEL INSERTION_CPU, RenderLightShadows_CPU, Z PrePass_CPU, Opaque_CPU, Cutout_CPU, Generate SSAO_CPU, Decompress and downsample_CPU, Analyze depth volumes_CPU, Blur and upsample_CPU, FillLightGrid_CPU, Main Render_CPU, Render Shadow Map_CPU, Render Color_CPU, Surfel Density Debug Overlay_CPU, Downsampling Depth_CPU, Render HBIL Tri_CPU, Render HBIL_CPU, Surfel Application Compute Shader_CPU, Apply Diffuse Lighting_CPU, Generate Camera Velocity_CPU, Post Effects_CPU, SDR Processing_CPU, Generate Bloom_CPU, Render UI_CPU, UI Block_CPU, Present_CPU, Build Acceleratoin Structures_GPU, Build Acceleration Structures_GPU, Build Acceleratoin Structures_GPU, Build Acceleration Structures_GPU, Update State_GPU, Scene Update_GPU, Scene Render_GPU, Particle Update_GPU, Disaptch Surfel Fill Acceleration Structures_GPU, Surfel Fill Acceleration Structures : SURFEL COUNT_GPU, Surfel Copy Grid To Input Buffer_GPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : REDUCE_GPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : SCAN_GPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : PROPAGATE INCLUSIVE_GPU, Surfel Fill Acceleration Structures : SURFEL INSERTION_GPU, RenderLightShadows_GPU, Z PrePass_GPU, Opaque_GPU, Cutout_GPU, Generate SSAO_GPU, Decompress and downsample_GPU, Analyze depth volumes_GPU, Blur and upsample_GPU, FillLightGrid_GPU, Main Render_GPU, Render Shadow Map_GPU, Render Color_GPU, Surfel Density Debug Overlay_GPU, Downsampling Depth_GPU, Render HBIL Tri_GPU, Render HBIL_GPU, Surfel Application Compute Shader_GPU, Apply Diffuse Lighting_GPU, Generate Camera Velocity_GPU, Post Effects_GPU, SDR Processing_GPU, Generate Bloom_GPU, Render UI_GPU, UI Block_GPU, Present_GPU, 
15, 0, 0, 0, 0, 0.3124, 0.0971, 2.475, 0.1928, 0, 0, 0, 0, 0, 0, 0, 0.0838, 0.348, 0.1594, 0.1075, 0.3959, 0.1051, 0.109, 0.0972, 0.0871, 0.0828, 0.1752, 0.2375, 0, 0.1146, 0.2613, 0.1443, 0.1156, 0.1064, 0.0935, 0.3828, 0.2549, 0.1593, 2.5593, 2.4453, 0.2069, 0, 0, 0, 0, 0, 0, 9.26493, 0.07232, 0, 0, 0, 0, 0, 0, 0, 0, 0.102976, 0.097216, 0.00576, 0.344576, 0.098592, 0.101952, 0.135072, 0.079072, 0.00336, 0.150176, 0.351104, 0, 1.19514, 6.55805, 0.000544, 0.149472, 0.078144, 0.068704, 0.164096, 0.161088, 0.093824, 0.018944, 0.018944, 0.039264, 
15, 0, 0, 0, 0, 0.3282, 0.0986, 2.5855, 0.198, 0, 0, 0, 0, 0, 0, 0, 0.0895, 0.354, 0.1613, 0.1077, 0.4306, 0.111, 0.1281, 0.1017, 0.0903, 0.0893, 0.1761, 0.1543, 0, 0.2099, 0.2765, 0.1197, 0.1314, 0.1022, 0.0931, 0.3604, 0.2494, 0.1567, 1.6559, 1.5562, 0.1367, 0, 0, 0, 0, 0, 0, 9.36624, 0.082336, 0, 0, 0, 0, 0, 0, 0, 0, 0.100768, 0.095136, 0.0056, 0.339488, 0.096736, 0.102816, 0.131008, 0.07824, 0.003456, 0.147808, 0.347968, 0, 1.19482, 6.66774, 0.000576, 0.1464, 0.078048, 0.06752, 0.162432, 0.159392, 0.09248, 0.016992, 0.01696, 0.038592, 
15, 0, 0, 0, 0, 0.2893, 0.0943, 2.2955, 0.198, 0, 0, 0, 0, 0, 0, 0, 0.0946, 0.3631, 0.168, 0.1117, 0.415, 0.1119, 0.1153, 0.1011, 0.0907, 0.0865, 0.1818, 0.1483, 0, 0.0823, 0.19, 0.0869, 0.0927, 0.0949, 0.0873, 0.3769, 0.2476, 0.153, 1.7463, 1.6419, 0.1376, 0, 0, 0, 0, 0, 3.2e-05, 10.2348, 0.070816, 0, 0, 0, 0, 0, 0, 0, 0, 0.100896, 0.095296, 0.005536, 0.337024, 0.09616, 0.101536, 0.1304, 0.081344, 0.003296, 0.147904, 0.347456, 0, 1.19491, 7.54726, 0.000544, 0.147488, 0.0784, 0.066912, 0.162176, 0.1592, 0.092352, 0.015776, 0.015776, 0.038496, 
20, 0, 0, 0, 0, 0.3283, 0.1053, 2.3024, 0.2126, 0, 0, 0, 0, 0, 0, 0, 0.1043, 0.3677, 0.1727, 0.1061, 0.405, 0.1111, 0.1113, 0.0991, 0.0855, 0.0885, 0.1807, 0.1471, 0, 0.0853, 0.1887, 0.0885, 0.0924, 0.0916, 0.0846, 0.3857, 0.2503, 0.1553, 1.6386, 1.5382, 0.1312, 0, 0, 0, 0, 0, 0, 9.32662, 0.072928, 0, 0, 0, 0, 0, 0, 0, 0, 0.524736, 0.093248, 0.431424, 0.346976, 0.105664, 0.101856, 0.13056, 0.077696, 0.004128, 0.14832, 0.347712, 0, 1.19318, 6.21034, 0.000576, 0.145728, 0.07616, 0.068832, 0.16064, 0.157664, 0.09088, 0.014912, 0.014848, 0.03952, 
20, 0, 0, 0, 0, 145.385, 0.1428, 2.6479, 0.2028, 0, 0, 0, 0, 0, 0, 0, 0.0871, 0.3614, 0.1745, 0.1069, 0.3849, 0.1067, 0.1022, 0.0915, 0.0828, 0.0879, 0.1856, 0.2289, 0, 0.1014, 0.1981, 0.0907, 0.091, 0.3225, 0.1236, 0.4713, 0.3001, 0.195, 2.01, 1.8956, 0.1663, 0, 0, 0, 0, 0, 0, 10.4755, 0.071296, 0, 0, 0, 0, 0, 0, 0, 3.2e-05, 0.107232, 0.101312, 0.005888, 1.44208, 0.097472, 0.101856, 1.23347, 0.078112, 0.003296, 0.148832, 0.34736, 0, 1.19546, 6.6809, 0.0016, 0.146304, 0.077344, 0.067392, 0.161344, 0.158336, 0.092224, 0.016, 0.016, 0.041856, 
20, 0, 0, 0, 0, 0.3183, 0.1127, 2.2838, 0.2045, 0, 0, 0, 0, 0, 0, 0, 0.0872, 0.3439, 0.1572, 0.104, 0.4036, 0.1081, 0.1097, 0.1016, 0.09, 0.0866, 0.1706, 0.1508, 0, 0.0995, 0.1974, 0.0895, 0.0945, 0.0975, 0.0887, 0.39, 0.2554, 0.1593, 1.919, 1.8052, 0.243, 0, 0, 0, 0, 0, 0, 10.7813, 0.071584, 0, 0, 0, 0, 0, 0, 0, 0, 0.103488, 0.097472, 0.00592, 0.343072, 0.09808, 0.101312, 0.134688, 0.079392, 0.024512, 0.132032, 0.352448, 0, 2.36157, 6.90688, 0.00336, 0.148096, 0.078112, 0.068192, 0.163392, 0.160416, 0.093056, 0.01808, 0.01808, 0.039488, 
20, 0, 0, 0, 0, 0.3723, 0.1057, 2.6827, 0.2171, 0, 0, 0, 0, 0, 0, 0, 0.1024, 0.3781, 0.1765, 0.1112, 0.427, 0.1174, 0.1165, 0.1034, 0.1346, 0.1478, 0.2259, 0.1767, 0, 0.105, 0.21, 0.0929, 0.1149, 0.1076, 0.1056, 0.8063, 0.5617, 0.3831, 2.2936, 2.1561, 0.2409, 0, 0, 0, 0, 0, 3.2e-05, 9.74944, 0.075488, 0, 0, 0, 0, 0, 0, 0, 3.2e-05, 0.1008, 0.095072, 0.005728, 0.33744, 0.095616, 0.102464, 0.130464, 0.077664, 0.00336, 0.14768, 0.34752, 0, 1.19542, 7.06112, 0.000544, 0.146752, 0.078976, 0.066656, 0.16416, 0.161056, 0.094176, 0.017376, 0.017376, 0.038528, 
20, 0, 0, 0, 0, 0.3936, 0.1062, 2.5176, 0.2408, 0, 0, 0, 0, 0, 0, 0, 0.0966, 0.3574, 0.164, 0.1074, 0.4899, 0.1417, 0.117, 0.0993, 0.0913, 0.089, 0.2003, 0.1554, 0, 0.0924, 0.1985, 0.0912, 0.0968, 0.0945, 0.0904, 0.5173, 0.2814, 0.1732, 2.125, 1.9497, 0.1891, 0, 0, 0, 0, 0, 3.2e-05, 10.6582, 0.072224, 0, 0, 0, 0, 0, 0, 0, 0, 0.100544, 0.094912, 0.0056, 0.8352, 0.096992, 0.103136, 0.625952, 0.085376, 0.003392, 0.147904, 0.348224, 0, 1.62976, 7.03312, 0.000544, 0.146592, 0.077248, 0.067552, 0.161632, 0.158656, 0.091904, 0.015872, 0.015872, 0.038752, 
25, 0, 0, 0, 0, 0.3393, 0.1057, 2.7746, 0.2187, 0, 0, 0, 0, 0, 0, 0, 0.1613, 0.3888, 0.1845, 0.1093, 0.4343, 0.1179, 0.1145, 0.0988, 0.0879, 0.0871, 0.1947, 0.165, 0, 0.108, 0.2104, 0.0956, 0.102, 0.2877, 0.1351, 0.5026, 0.3763, 0.2828, 2.1573, 2.0155, 0.162, 0, 0, 0, 0, 0, 0, 11.7812, 0.072704, 0, 0, 0, 0, 0, 0, 0, 0, 0.539136, 0.09552, 0.44352, 0.343488, 0.101568, 0.102208, 0.130656, 0.077344, 0.004704, 0.147552, 0.346912, 0, 2.68864, 7.14886, 0.003296, 0.150656, 0.080288, 0.068096, 0.163424, 0.160416, 0.093152, 0.017856, 0.017856, 0.039264, 
25, 0, 0, 0, 0, 2195.86, 0.1953, 2.3721, 0.2223, 0, 0, 0, 0, 0, 0, 0, 0.0891, 0.3715, 0.1794, 0.1099, 0.3993, 0.1028, 0.1136, 0.0995, 0.0892, 0.0902, 0.1821, 0.1525, 0, 0.088, 0.1987, 0.0944, 0.0904, 0.0923, 0.0866, 0.3753, 0.2471, 0.1536, 1.7594, 1.6434, 0.1597, 0, 0, 0, 0, 0, 0, 10.7322, 0.081056, 0, 0, 0, 0, 0, 0, 0, 0, 0.10304, 0.097248, 0.00576, 0.339168, 0.09776, 0.10192, 0.13056, 0.07904, 0.00336, 0.149088, 0.351584, 0, 1.6497, 7.57277, 0.00176, 0.145696, 0.0792, 0.0672, 0.1616, 0.15856, 0.092192, 0.017504, 0.017504, 0.042688, 
